dataset,model,iteration,mae,mse,seq_len,pred_len,percent,memory,time
Apple,CALF,1,1.0929,1.9517,96,24,100,1469.0,13.9
Apple,CALF,2,0.95558,1.5556,96,24,100,1471.1,12.8
Apple,CALF,3,1.0666,1.8747,96,24,100,1470.0,12.5
Apple,CALF,1,1.1886,2.286,96,24,10,938.4,4.9
Apple,CALF,2,1.1884,2.2814,96,24,10,939.9,5.6
Apple,CALF,3,1.2488,2.4272,96,24,10,941.4,5.4
Apple,CALF,1,1.4635,3.5048,96,24,0,,
Apple,CALF,2,1.4575,3.4606,96,24,0,,
Apple,CALF,3,1.3854,3.1231,96,24,0,,
Apple,CALF,1,1.516,3.5245,96,48,100,946.8,9.7
Apple,CALF,2,1.6602,4.2377,96,48,100,950.0,8.3
Apple,CALF,3,1.5835,3.8939,96,48,100,948.3,8.3
Apple,CALF,1,1.5961,4.1627,96,96,100,973.6,9.7
Apple,CALF,2,1.7257,4.7899,96,96,100,977.5,10.5
Apple,CALF,3,1.6637,4.5278,96,96,100,976.5,9.4
Apple,DLinear,1,0.96065,1.5728,96,24,100,16.4,2.8
Apple,DLinear,2,0.95703,1.5749,96,24,100,16.4,1.9
Apple,DLinear,3,0.96412,1.5823,96,24,100,16.4,1.9
Apple,DLinear,1,1.3018,2.8021,96,24,10,16.6,0.6
Apple,DLinear,2,1.3074,2.8332,96,24,10,16.6,0.5
Apple,DLinear,3,1.2822,2.7082,96,24,10,16.6,0.5
Apple,DLinear,1,1.4253,3.3564,96,48,100,16.5,2.7
Apple,DLinear,2,1.3912,3.2271,96,48,100,16.5,2.4
Apple,DLinear,3,1.3727,3.1385,96,48,100,16.5,2.4
Apple,DLinear,1,1.558,4.3385,96,96,100,16.9,2.6
Apple,DLinear,2,1.5627,4.3758,96,96,100,16.9,1.8
Apple,DLinear,3,1.5942,4.5588,96,96,100,16.9,1.8
Apple,iTransformer,1,1.0558,1.8441,96,24,100,17.5,3.4
Apple,iTransformer,2,1.0754,1.8833,96,24,100,17.5,3.2
Apple,iTransformer,3,1.1551,2.088,96,24,100,17.5,3.2
Apple,iTransformer,1,1.3889,3.0366,96,24,10,17.6,0.8
Apple,iTransformer,2,1.3659,2.9345,96,24,10,17.6,0.6
Apple,iTransformer,3,1.4163,3.1866,96,24,10,17.6,0.6
Apple,iTransformer,1,1.6002,4.0797,96,48,100,17.6,2.9
Apple,iTransformer,2,1.4568,3.3584,96,48,100,17.6,2.7
Apple,iTransformer,3,1.5877,4.0074,96,48,100,17.6,2.7
Apple,iTransformer,1,1.7112,4.6792,96,96,100,17.9,3.5
Apple,iTransformer,2,1.8079,5.3942,96,96,100,17.9,3.2
Apple,iTransformer,3,1.7845,5.1944,96,96,100,17.9,3.2
Apple,MICN,1,0.90948,1.508,96,24,100,22.9,3.6
Apple,MICN,2,0.90952,1.5441,96,24,100,22.9,3.4
Apple,MICN,3,0.88214,1.4173,96,24,100,22.9,3.4
Apple,MICN,1,1.2031,2.4094,96,24,10,23.2,0.8
Apple,MICN,2,1.1987,2.3988,96,24,10,23.2,0.7
Apple,MICN,3,1.1821,2.381,96,24,10,23.2,0.7
Apple,MICN,1,1.3225,3.007,96,48,100,23.3,3.3
Apple,MICN,2,1.3267,2.976,96,48,100,23.3,2.9
Apple,MICN,3,1.3076,2.8804,96,48,100,23.3,2.9
Apple,MICN,1,1.4955,3.9334,96,96,100,24.1,4.0
Apple,MICN,2,1.5369,4.1407,96,96,100,24.1,3.1
Apple,MICN,3,1.447,3.7107,96,96,100,24.1,3.5
Apple,OFA,1,0.98599,1.6703,96,24,100,349.0,5.7
Apple,OFA,2,1.0199,1.7729,96,24,100,350.1,5.6
Apple,OFA,3,1.0397,1.8152,96,24,100,349.0,5.0
Apple,OFA,1,1.2876,2.7958,96,24,10,349.1,2.0
Apple,OFA,2,1.2876,2.7958,96,24,10,349.1,2.0
Apple,OFA,3,1.2876,2.7958,96,24,10,349.1,2.0
Apple,OFA,1,1.3688,3.0916,96,24,0,,
Apple,OFA,2,1.3601,3.0608,96,24,0,,
Apple,OFA,3,1.3495,3.0015,96,24,0,,
Apple,OFA,1,1.421,3.3502,96,48,100,353.4,7.0
Apple,OFA,2,1.4711,3.7046,96,48,100,354.5,6.8
Apple,OFA,3,1.4286,3.4932,96,48,100,353.1,7.3
Apple,OFA,1,2.2095,8.7512,96,96,100,359.6,16.1
Apple,OFA,2,1.8701,6.1396,96,96,100,361.2,13.8
Apple,OFA,3,1.7907,5.8527,96,96,100,360.6,13.2
Apple,PatchTST,1,1.0249,1.8515,96,24,100,18.9,5.2
Apple,PatchTST,2,1.0571,2.0952,96,24,100,18.9,3.6
Apple,PatchTST,3,1.0861,2.1413,96,24,100,18.9,3.6
Apple,PatchTST,1,1.1956,2.2756,96,24,10,19.0,0.9
Apple,PatchTST,2,1.1788,2.2894,96,24,10,19.0,0.6
Apple,PatchTST,3,1.2454,2.5011,96,24,10,19.0,0.6
Apple,PatchTST,1,1.5474,4.1354,96,48,100,19.2,4.4
Apple,PatchTST,2,1.3285,2.9713,96,48,100,19.2,2.8
Apple,PatchTST,3,1.6651,4.8588,96,48,100,19.2,2.8
Apple,PatchTST,1,2.0609,7.7357,96,96,100,20.1,4.6
Apple,PatchTST,2,1.758,5.6606,96,96,100,20.1,3.2
Apple,PatchTST,3,1.5331,4.4173,96,96,100,20.1,2.2
Apple,TimeLLM,1,0.99008,1.679,96,24,100,1126.3,52.7
Apple,TimeLLM,2,1.015,1.6905,96,24,100,1127.0,53.2
Apple,TimeLLM,3,1.0635,1.8446,96,24,100,1126.3,54.7
Apple,TimeLLM,1,1.3017,2.7689,96,24,10,1126.5,10.1
Apple,TimeLLM,2,1.5248,3.7809,96,24,10,1125.7,10.0
Apple,TimeLLM,3,1.24,2.4534,96,24,10,1127.3,10.2
Apple,TimeLLM,1,1.5633,4.0263,96,24,0,,
Apple,TimeLLM,2,1.6172,4.2565,96,24,0,,
Apple,TimeLLM,3,1.6368,4.235,96,24,0,,
Apple,TimeLLM,1,1.3354,3.0037,96,48,100,1127.1,39.5
Apple,TimeLLM,2,1.3495,2.9383,96,48,100,1127.1,40.4
Apple,TimeLLM,3,1.4354,3.2768,96,48,100,1127.4,39.6
Apple,TimeLLM,1,1.5195,3.9321,96,96,100,1128.3,180.7
Apple,TimeLLM,2,1.6621,4.9029,96,96,100,1128.6,184.3
Apple,TimeLLM,3,1.5576,4.2038,96,96,100,1129.7,177.9
Apple,TimeMixer,1,1.1027,2.0683,96,24,100,18.1,4.8
Apple,TimeMixer,2,1.0708,1.9466,96,24,100,18.1,4.7
Apple,TimeMixer,3,0.9974,1.7015,96,24,100,18.1,4.7
Apple,TimeMixer,1,1.424,3.2023,96,24,10,18.2,1.0
Apple,TimeMixer,2,1.4761,3.4794,96,24,10,18.2,0.9
Apple,TimeMixer,3,1.4853,3.6291,96,24,10,18.2,0.9
Apple,TimeMixer,1,1.4806,3.7397,96,48,100,18.2,4.8
Apple,TimeMixer,2,1.4475,3.5434,96,48,100,18.2,4.5
Apple,TimeMixer,3,1.4506,3.5946,96,48,100,18.2,4.5
Apple,TimeMixer,1,1.5757,4.4741,96,96,100,18.6,6.5
Apple,TimeMixer,2,1.6597,5.2158,96,96,100,18.6,5.9
Apple,TimeMixer,3,1.5597,4.3993,96,96,100,18.6,6.2
Apple,TimesNet,1,1.0502,1.8698,96,24,100,166.7,21.2
Apple,TimesNet,2,0.94372,1.5818,96,24,100,168.0,32.3
Apple,TimesNet,3,1.0235,1.8038,96,24,100,166.5,18.6
Apple,TimesNet,1,1.3891,3.1597,96,24,10,165.1,3.7
Apple,TimesNet,2,1.4168,3.1402,96,24,10,168.6,5.2
Apple,TimesNet,3,1.4188,3.3694,96,24,10,168.0,2.9
Apple,TimesNet,1,1.5309,3.9161,96,48,100,170.0,32.7
Apple,TimesNet,2,1.5919,4.2932,96,48,100,169.1,28.6
Apple,TimesNet,3,1.6235,4.525,96,48,100,172.3,25.6
Apple,TimesNet,1,2.1669,8.2788,96,96,100,166.3,83.6
Apple,TimesNet,2,1.7614,5.3411,96,96,100,169.1,90.6
Apple,TimesNet,3,1.7204,5.3596,96,96,100,167.4,72.4
Crude_Oil,CALF,1,0.89398,1.3081,96,24,100,1474.7,11.8
Crude_Oil,CALF,2,0.86372,1.2692,96,24,100,1476.7,13.4
Crude_Oil,CALF,3,0.88607,1.2762,96,24,100,1474.8,10.7
Crude_Oil,CALF,1,1.146,2.1895,96,24,10,939.5,2.9
Crude_Oil,CALF,2,1.1566,2.1653,96,24,10,941.8,2.7
Crude_Oil,CALF,3,1.1279,2.0459,96,24,10,943.8,2.8
Crude_Oil,CALF,1,1.219,2.3375,96,24,0,,
Crude_Oil,CALF,2,1.1935,2.2747,96,24,0,,
Crude_Oil,CALF,3,1.1276,2.0139,96,24,0,,
Crude_Oil,CALF,1,1.0317,1.6446,96,48,100,949.8,9.7
Crude_Oil,CALF,2,0.81484,1.1154,96,48,100,954.4,7.7
Crude_Oil,CALF,3,1.0239,1.6686,96,48,100,955.1,7.9
Crude_Oil,CALF,2,1.001,1.5739,96,96,100,972.6,8.6
Crude_Oil,CALF,3,1.1327,1.9778,96,96,100,972.3,9.2
Crude_Oil,DLinear,1,0.771,1.0578,96,24,100,16.4,2.1
Crude_Oil,DLinear,2,0.78369,1.0966,96,24,100,16.4,2.0
Crude_Oil,DLinear,3,0.78774,1.0956,96,24,100,16.4,2.0
Crude_Oil,DLinear,1,1.0139,1.6619,96,24,10,16.6,0.5
Crude_Oil,DLinear,2,1.0152,1.6605,96,24,10,16.6,0.5
Crude_Oil,DLinear,3,1.0088,1.6534,96,24,10,16.6,0.4
Crude_Oil,DLinear,1,0.83557,1.0805,96,48,100,16.6,2.7
Crude_Oil,DLinear,2,0.83107,1.0581,96,48,100,16.6,1.5
Crude_Oil,DLinear,3,0.83193,1.0681,96,48,100,16.6,1.7
Crude_Oil,DLinear,2,0.85661,1.0936,96,96,100,16.6,0.7
Crude_Oil,DLinear,3,0.88299,1.159,96,96,100,16.6,0.7
Crude_Oil,iTransformer,1,0.78032,1.0845,96,24,100,17.5,2.9
Crude_Oil,iTransformer,2,0.90878,1.6138,96,24,100,17.5,2.7
Crude_Oil,iTransformer,3,0.79255,1.0403,96,24,100,17.5,2.7
Crude_Oil,iTransformer,1,1.0557,1.8789,96,24,10,17.7,0.7
Crude_Oil,iTransformer,2,1.0714,1.8924,96,24,10,17.7,0.5
Crude_Oil,iTransformer,3,1.0975,1.9762,96,24,10,17.7,0.5
Crude_Oil,iTransformer,1,0.78245,1.0249,96,48,100,17.7,2.2
Crude_Oil,iTransformer,2,0.85733,1.223,96,48,100,17.7,2.4
Crude_Oil,iTransformer,3,0.99436,1.5151,96,48,100,17.7,2.6
Crude_Oil,iTransformer,2,1.4583,3.319,96,96,100,17.6,1.2
Crude_Oil,iTransformer,3,0.99356,1.585,96,96,100,17.6,1.3
Crude_Oil,MICN,1,0.71167,0.91899,96,24,100,23.0,3.0
Crude_Oil,MICN,2,0.71337,0.92095,96,24,100,23.0,2.8
Crude_Oil,MICN,3,0.72262,0.96322,96,24,100,23.0,2.8
Crude_Oil,MICN,1,1.3178,2.6293,96,24,10,23.2,0.8
Crude_Oil,MICN,2,1.2284,2.3226,96,24,10,23.2,0.5
Crude_Oil,MICN,3,1.2996,2.5856,96,24,10,23.2,0.5
Crude_Oil,MICN,1,0.79354,0.94987,96,48,100,23.4,3.5
Crude_Oil,MICN,2,0.80446,1.0459,96,48,100,23.4,1.9
Crude_Oil,MICN,3,0.80994,1.0015,96,48,100,23.4,2.2
Crude_Oil,MICN,2,0.86991,1.1654,96,96,100,23.8,1.4
Crude_Oil,MICN,3,0.89348,1.2498,96,96,100,23.8,1.3
Crude_Oil,OFA,1,0.75869,1.0262,96,24,100,349.0,5.3
Crude_Oil,OFA,2,0.7318,0.97587,96,24,100,350.2,5.1
Crude_Oil,OFA,3,0.81064,1.1471,96,24,100,349.0,5.4
Crude_Oil,OFA,1,1.1489,2.2904,96,24,10,349.1,2.9
Crude_Oil,OFA,2,1.3375,3.2719,96,24,10,350.3,3.1
Crude_Oil,OFA,3,0.97619,1.6905,96,24,10,349.1,2.1
Crude_Oil,OFA,1,1.1058,1.9563,96,24,0,,
Crude_Oil,OFA,2,1.0734,1.8583,96,24,0,,
Crude_Oil,OFA,3,1.0755,1.8592,96,24,0,,
Crude_Oil,OFA,1,0.84039,1.2137,96,48,100,353.4,7.1
Crude_Oil,OFA,2,0.99278,1.6848,96,48,100,354.2,6.3
Crude_Oil,OFA,3,0.75837,0.93353,96,48,100,354.3,6.4
Crude_Oil,OFA,2,1.2831,3.153,96,96,100,361.6,14.7
Crude_Oil,OFA,3,1.3133,2.9731,96,96,100,362.9,14.5
Crude_Oil,PatchTST,1,0.79288,1.1445,96,24,100,18.9,2.9
Crude_Oil,PatchTST,2,0.76206,1.0906,96,24,100,18.9,2.7
Crude_Oil,PatchTST,3,0.72761,0.91624,96,24,100,18.9,2.7
Crude_Oil,PatchTST,1,1.0916,2.0801,96,24,10,19.1,0.7
Crude_Oil,PatchTST,2,1.0272,1.8398,96,24,10,19.1,0.5
Crude_Oil,PatchTST,3,1.0438,1.9522,96,24,10,19.1,0.5
Crude_Oil,PatchTST,1,0.88521,1.3169,96,48,100,19.3,4.2
Crude_Oil,PatchTST,2,0.85151,1.1661,96,48,100,19.3,2.7
Crude_Oil,PatchTST,3,0.99897,1.7962,96,48,100,19.3,2.6
Crude_Oil,PatchTST,2,0.94259,1.3265,96,96,100,19.8,1.3
Crude_Oil,PatchTST,3,0.98879,1.5286,96,96,100,19.8,1.2
Crude_Oil,TimeLLM,1,0.82897,1.2326,96,24,100,1125.9,45.5
Crude_Oil,TimeLLM,2,0.75727,0.98531,96,24,100,1126.6,45.1
Crude_Oil,TimeLLM,3,0.80351,1.1847,96,24,100,1128.3,45.7
Crude_Oil,TimeLLM,1,1.0427,1.7934,96,24,10,1125.9,10.3
Crude_Oil,TimeLLM,2,0.89739,1.4272,96,24,10,1126.6,9.6
Crude_Oil,TimeLLM,3,1.0901,2.0393,96,24,10,1128.3,10.2
Crude_Oil,TimeLLM,1,1.3614,2.9426,96,24,0,,
Crude_Oil,TimeLLM,2,1.3706,2.9733,96,24,0,,
Crude_Oil,TimeLLM,3,1.4452,3.2409,96,24,0,,
Crude_Oil,TimeLLM,1,0.87011,1.151,96,48,100,1126.9,62.1
Crude_Oil,TimeLLM,2,0.83645,1.1081,96,48,100,1128.6,63.0
Crude_Oil,TimeLLM,3,0.82859,1.0825,96,48,100,1128.4,62.9
Crude_Oil,TimeLLM,1,0.84045,1.0248,96,96,100,1128.0,146.9
Crude_Oil,TimeLLM,2,0.99292,1.3971,96,96,100,1129.6,147.1
Crude_Oil,TimeLLM,3,0.88819,1.2363,96,96,100,1130.0,145.8
Crude_Oil,TimeMixer,1,0.88253,1.4666,96,24,100,18.1,4.8
Crude_Oil,TimeMixer,2,0.96168,1.8827,96,24,100,18.1,4.5
Crude_Oil,TimeMixer,3,0.95112,1.5807,96,24,100,18.1,4.6
Crude_Oil,TimeMixer,1,1.1224,2.0102,96,24,10,18.2,1.1
Crude_Oil,TimeMixer,2,1.1709,2.1836,96,24,10,18.2,0.7
Crude_Oil,TimeMixer,3,1.1225,1.998,96,24,10,18.2,0.7
Crude_Oil,TimeMixer,1,1.0646,2.0425,96,48,100,18.3,5.7
Crude_Oil,TimeMixer,2,1.1554,2.2449,96,48,100,18.3,5.1
Crude_Oil,TimeMixer,3,0.88808,1.3116,96,48,100,18.3,4.5
Crude_Oil,TimeMixer,2,1.2707,2.4653,96,96,100,18.3,2.2
Crude_Oil,TimeMixer,3,0.88569,1.2892,96,96,100,18.3,2.2
Crude_Oil,TimesNet,1,0.87218,1.2228,96,24,100,170.2,16.7
Crude_Oil,TimesNet,2,0.75436,1.1492,96,24,100,169.5,33.4
Crude_Oil,TimesNet,3,0.82001,1.2023,96,24,100,170.1,14.4
Crude_Oil,TimesNet,1,1.3967,3.0363,96,24,10,166.3,4.7
Crude_Oil,TimesNet,2,1.2683,2.9381,96,24,10,169.2,4.3
Crude_Oil,TimesNet,3,1.212,2.2742,96,24,10,172.1,3.0
Crude_Oil,TimesNet,1,0.90149,1.4453,96,48,100,167.5,54.0
Crude_Oil,TimesNet,2,1.1677,2.2573,96,48,100,172.3,49.3
Crude_Oil,TimesNet,3,0.95922,1.5653,96,48,100,169.5,25.0
Crude_Oil,TimesNet,2,1.1996,2.0467,96,96,100,168.6,26.8
Crude_Oil,TimesNet,3,1.2566,2.3352,96,96,100,169.4,26.6
Exchange_Rate_Report,CALF,1,0.8573,1.2364,96,24,100,1462.3,10.3
Exchange_Rate_Report,CALF,2,0.80492,1.1464,96,24,100,1461.7,11.7
Exchange_Rate_Report,CALF,3,0.78055,1.0235,96,24,100,1462.7,13.2
Exchange_Rate_Report,CALF,1,0.89366,1.4008,96,24,10,930.0,6.0
Exchange_Rate_Report,CALF,2,0.98597,1.6549,96,24,10,936.0,4.6
Exchange_Rate_Report,CALF,3,0.87466,1.371,96,24,10,934.6,5.3
Exchange_Rate_Report,CALF,1,1.331,2.5624,96,24,0,,
Exchange_Rate_Report,CALF,2,1.3099,2.4918,96,24,0,,
Exchange_Rate_Report,CALF,3,1.2256,2.1794,96,24,0,,
Exchange_Rate_Report,CALF,1,1.1061,1.9846,96,48,100,937.9,7.6
Exchange_Rate_Report,CALF,2,1.004,1.7455,96,48,100,945.3,9.9
Exchange_Rate_Report,CALF,3,1.0493,1.8454,96,48,100,941.3,6.6
Exchange_Rate_Report,CALF,1,1.2163,2.4368,96,96,100,966.9,7.9
Exchange_Rate_Report,CALF,2,1.0201,1.7737,96,96,100,973.3,9.3
Exchange_Rate_Report,CALF,3,1.1799,2.2859,96,96,100,970.1,7.6
Exchange_Rate_Report,DLinear,1,0.70497,0.92199,96,24,100,16.4,1.3
Exchange_Rate_Report,DLinear,2,0.70208,0.91482,96,24,100,16.4,1.2
Exchange_Rate_Report,DLinear,3,0.69954,0.91732,96,24,100,16.4,1.2
Exchange_Rate_Report,DLinear,1,0.91563,1.4853,96,24,10,16.6,0.5
Exchange_Rate_Report,DLinear,2,0.91364,1.4736,96,24,10,16.6,0.5
Exchange_Rate_Report,DLinear,3,0.91644,1.4864,96,24,10,16.6,0.5
Exchange_Rate_Report,DLinear,1,0.8742,1.3912,96,48,100,16.6,1.9
Exchange_Rate_Report,DLinear,2,0.88726,1.4418,96,48,100,16.6,1.8
Exchange_Rate_Report,DLinear,3,0.88874,1.4388,96,48,100,16.6,1.8
Exchange_Rate_Report,DLinear,1,0.99405,1.7588,96,96,100,17.1,1.6
Exchange_Rate_Report,DLinear,2,0.97346,1.7028,96,96,100,17.1,1.5
Exchange_Rate_Report,DLinear,3,0.985,1.733,96,96,100,17.1,1.5
Exchange_Rate_Report,iTransformer,1,0.80616,1.16,96,24,100,17.5,1.8
Exchange_Rate_Report,iTransformer,2,0.73819,1.0107,96,24,100,17.5,1.6
Exchange_Rate_Report,iTransformer,3,0.7547,1.0162,96,24,100,17.5,1.6
Exchange_Rate_Report,iTransformer,1,0.98313,1.7341,96,24,10,17.7,0.6
Exchange_Rate_Report,iTransformer,2,0.95131,1.6044,96,24,10,17.7,0.5
Exchange_Rate_Report,iTransformer,3,0.94365,1.6061,96,24,10,17.7,0.5
Exchange_Rate_Report,iTransformer,1,0.95155,1.6549,96,48,100,17.6,2.4
Exchange_Rate_Report,iTransformer,2,0.92522,1.5686,96,48,100,17.6,2.2
Exchange_Rate_Report,iTransformer,3,1.1458,2.1911,96,48,100,17.6,2.2
Exchange_Rate_Report,iTransformer,1,1.0083,1.7789,96,96,100,18.0,2.1
Exchange_Rate_Report,iTransformer,2,1.0535,1.9371,96,96,100,18.0,1.8
Exchange_Rate_Report,iTransformer,3,1.0387,1.9227,96,96,100,18.0,2.4
Exchange_Rate_Report,MICN,1,0.75018,0.96881,96,24,100,23.0,5.2
Exchange_Rate_Report,MICN,2,0.77447,1.044,96,24,100,23.0,2.4
Exchange_Rate_Report,MICN,3,0.75278,0.97771,96,24,100,23.0,2.4
Exchange_Rate_Report,MICN,1,1.1929,2.2721,96,24,10,23.2,0.7
Exchange_Rate_Report,MICN,2,1.1457,2.0753,96,24,10,23.2,0.6
Exchange_Rate_Report,MICN,3,1.1666,2.1703,96,24,10,23.2,0.6
Exchange_Rate_Report,MICN,1,0.92858,1.4665,96,48,100,23.4,2.5
Exchange_Rate_Report,MICN,2,0.95053,1.526,96,48,100,23.4,2.3
Exchange_Rate_Report,MICN,3,0.9947,1.6677,96,48,100,23.4,2.2
Exchange_Rate_Report,MICN,1,1.1064,2.0323,96,96,100,24.3,2.9
Exchange_Rate_Report,MICN,2,1.0847,1.9234,96,96,100,24.3,2.6
Exchange_Rate_Report,MICN,3,1.0619,1.818,96,96,100,24.3,1.9
Exchange_Rate_Report,OFA,1,0.70494,0.93909,96,24,100,348.3,7.2
Exchange_Rate_Report,OFA,2,0.71582,0.95893,96,24,100,351.5,7.8
Exchange_Rate_Report,OFA,3,0.74524,1.0229,96,24,100,351.3,8.1
Exchange_Rate_Report,OFA,1,0.80355,1.1924,96,24,10,348.4,3.2
Exchange_Rate_Report,OFA,2,0.82752,1.2645,96,24,10,351.5,3.1
Exchange_Rate_Report,OFA,3,0.81293,1.212,96,24,10,351.4,3.1
Exchange_Rate_Report,OFA,1,1.2456,2.1616,96,24,0,,
Exchange_Rate_Report,OFA,2,1.2278,2.094,96,24,0,,
Exchange_Rate_Report,OFA,3,1.2148,2.0573,96,24,0,,
Exchange_Rate_Report,OFA,1,0.91764,1.5294,96,48,100,353.7,8.3
Exchange_Rate_Report,OFA,2,0.93018,1.5634,96,48,100,355.1,8.0
Exchange_Rate_Report,OFA,3,0.91075,1.4807,96,48,100,353.7,8.4
Exchange_Rate_Report,OFA,1,1.0674,1.9727,96,96,100,359.9,13.8
Exchange_Rate_Report,OFA,2,1.0368,1.8906,96,96,100,360.6,18.0
Exchange_Rate_Report,OFA,3,1.0952,2.0676,96,96,100,361.3,17.6
Exchange_Rate_Report,PatchTST,1,0.70061,0.89235,96,24,100,18.9,1.8
Exchange_Rate_Report,PatchTST,2,0.7159,0.93163,96,24,100,18.9,1.6
Exchange_Rate_Report,PatchTST,3,0.72221,1.0027,96,24,100,18.9,1.6
Exchange_Rate_Report,PatchTST,1,0.81052,1.1392,96,24,10,19.1,0.7
Exchange_Rate_Report,PatchTST,2,0.86562,1.3699,96,24,10,19.1,0.5
Exchange_Rate_Report,PatchTST,3,0.86133,1.3364,96,24,10,19.1,0.5
Exchange_Rate_Report,PatchTST,1,0.88838,1.4169,96,48,100,19.3,2.5
Exchange_Rate_Report,PatchTST,2,0.90904,1.504,96,48,100,19.3,2.3
Exchange_Rate_Report,PatchTST,3,0.92748,1.5452,96,48,100,19.3,2.3
Exchange_Rate_Report,PatchTST,1,0.91187,1.5836,96,96,100,20.2,2.1
Exchange_Rate_Report,PatchTST,2,0.99069,1.8647,96,96,100,20.2,1.8
Exchange_Rate_Report,PatchTST,3,0.98688,1.8549,96,96,100,20.2,2.5
Exchange_Rate_Report,TimeLLM,1,0.72889,0.94046,96,24,100,1125.9,59.7
Exchange_Rate_Report,TimeLLM,2,0.736,0.94595,96,24,100,1126.8,61.4
Exchange_Rate_Report,TimeLLM,3,0.72476,0.91406,96,24,100,1128.2,60.6
Exchange_Rate_Report,TimeLLM,1,0.7748,1.1104,96,24,10,1126.0,11.9
Exchange_Rate_Report,TimeLLM,2,0.86894,1.3531,96,24,10,1125.9,11.8
Exchange_Rate_Report,TimeLLM,3,0.79026,1.1338,96,24,10,1126.7,12.3
Exchange_Rate_Report,TimeLLM,1,1.4841,3.212,96,24,0,,
Exchange_Rate_Report,TimeLLM,2,1.4788,3.2583,96,24,0,,
Exchange_Rate_Report,TimeLLM,3,1.4593,3.27,96,24,0,,
Exchange_Rate_Report,TimeLLM,1,0.94044,1.5187,96,48,100,1126.3,43.6
Exchange_Rate_Report,TimeLLM,2,0.97651,1.6481,96,48,100,1126.3,48.6
Exchange_Rate_Report,TimeLLM,3,0.9588,1.5713,96,48,100,1126.3,45.0
Exchange_Rate_Report,TimeLLM,1,1.0489,1.8935,96,96,100,1127.8,217.5
Exchange_Rate_Report,TimeLLM,2,1.0855,1.9603,96,96,100,1127.7,264.0
Exchange_Rate_Report,TimeLLM,3,1.0046,1.7783,96,96,100,1128.3,201.4
Exchange_Rate_Report,TimeMixer,1,0.72597,0.96206,96,24,100,18.1,4.9
Exchange_Rate_Report,TimeMixer,2,0.71354,0.93752,96,24,100,18.1,4.5
Exchange_Rate_Report,TimeMixer,3,0.71504,0.9383,96,24,100,18.1,4.4
Exchange_Rate_Report,TimeMixer,1,0.86901,1.3658,96,24,10,18.2,0.9
Exchange_Rate_Report,TimeMixer,2,0.83542,1.276,96,24,10,18.2,0.8
Exchange_Rate_Report,TimeMixer,3,0.81343,1.2171,96,24,10,18.2,0.8
Exchange_Rate_Report,TimeMixer,1,0.91162,1.5174,96,48,100,18.2,4.1
Exchange_Rate_Report,TimeMixer,2,0.90394,1.4644,96,48,100,18.2,4.0
Exchange_Rate_Report,TimeMixer,3,0.91741,1.5245,96,48,100,18.2,3.9
Exchange_Rate_Report,TimeMixer,1,1.0462,1.9063,96,96,100,18.7,5.4
Exchange_Rate_Report,TimeMixer,2,1.0433,1.9117,96,96,100,18.7,5.4
Exchange_Rate_Report,TimeMixer,3,0.96836,1.6383,96,96,100,18.7,5.1
Exchange_Rate_Report,TimesNet,1,0.91907,1.3873,96,24,100,166.1,17.5
Exchange_Rate_Report,TimesNet,2,1.0691,2.0389,96,24,100,168.3,84.9
Exchange_Rate_Report,TimesNet,1,1.3859,3.0191,96,24,10,168.8,2.9
Exchange_Rate_Report,TimesNet,2,1.2965,2.6126,96,24,10,168.9,3.5
Exchange_Rate_Report,TimesNet,3,1.3371,2.9837,96,24,10,169.6,2.4
Exchange_Rate_Report,TimesNet,1,1.1341,2.0894,96,48,100,169.2,25.0
